Sales Person,Country,Product,Date,Amount,Boxes Shipped,Amount_MinMax,Amount_ZScore,Boxes Shipped_MinMax,Boxes Shipped_ZScore
Mallorie Waber,Canada,Eclairs,2022-01-13,1442.0,286.0,0.08152082640530577,-1.0613613378594307,0.6031746031746031,1.038592335717845
Karlen McCaffrey,New Zealand,Drinking Coco,2022-07-28,168.0,156.0,0.009146239060107477,-1.3581750324655895,0.328042328042328,-0.058256433604296366
Marney O'Breen,New Zealand,Peanut Butter Cubes,2022-08-03,8379.0,173.0,0.47560443112558876,0.5548055377158624,0.364021164021164,0.08517763623013751
Beverie Moffet,Australia,Organic Choco Syrup,2022-01-26,6790.0,356.0,0.3853350282280063,0.1846038416960929,0.7513227513227513,1.6292032115066903
Van Tuxwell,Canada,Organic Choco Syrup,2022-02-14,4067.0,42.0,0.2306442893418407,-0.44979465941267505,0.08677248677248678,-1.0201084313175588
Roddy Speechley,USA,Smooth Sliky Salty,2022-04-05,3017.0,140.0,0.17099490416722674,-0.6944213307913774,0.29417989417989415,-0.1932532052131753
Beverie Moffet,Canada,Milk Bars,2022-02-16,8799.0,250.0,0.49946418519543434,0.6526562062673432,0.526984126984127,0.7348495995978673
Curtice Advani,UK,85% Dark Bars,2022-06-08,1085.0,172.0,0.061240035445937015,-1.1445344061281895,0.3619047619047619,0.07674033800458258
Brien Boise,Australia,Eclairs,2022-06-27,6888.0,88.0,0.39090230417763694,0.2074356643581051,0.18412698412698414,-0.6319927129420319
Gunar Cockshoot,USA,Spicy Special Slims,2022-02-17,1267.0,157.0,0.07157926220953677,-1.102132449755881,0.33015873015873015,-0.04981913537874143
Marney O'Breen,USA,After Nines,2022-05-30,4753.0,163.0,0.26961522098925517,-0.28997190077858953,0.34285714285714286,0.0008046539745881715
Husein Augar,UK,Drinking Coco,2022-03-14,3003.0,113.0,0.1701995790315652,-0.6976830197430933,0.23703703703703705,-0.4210602573031585
Kaine Padly,Australia,Eclairs,2022-02-28,7672.0,115.0,0.435440511774682,0.3900902456542028,0.24126984126984127,-0.40418566085204866
Karlen McCaffrey,India,Fruit & Nut Bars,2022-01-26,168.0,321.0,0.009146239060107477,-1.3581750324655895,0.6772486772486772,1.3338977736122677
Roddy Speechley,Canada,Spicy Special Slims,2022-02-09,1652.0,186.0,0.09345070344022856,-1.0124360035836903,0.3915343915343915,0.19486251316235165
Husein Augar,USA,Eclairs,2022-07-07,4025.0,112.0,0.22825831393485616,-0.4595797262678231,0.23492063492063492,-0.42949755552871344
Dennison Crosswaite,New Zealand,White Choc,2022-07-05,9492.0,151.0,0.5388327794106795,0.8141098093772867,0.31746031746031744,-0.10044292473207103
Dennison Crosswaite,New Zealand,Manuka Honey Choco,2022-06-15,5061.0,301.0,0.2871123739738086,-0.21821474384083686,0.6349206349206349,1.165151809101169
Van Tuxwell,New Zealand,85% Dark Bars,2022-05-24,1722.0,121.0,0.09742732911853616,-0.9961275588251102,0.25396825396825395,-0.35356187149871904
Rafaelita Blaksland,UK,99% Dark & Pure,2022-06-29,12446.0,150.0,0.7066463830352602,1.502326178189369,0.31534391534391537,-0.10888022295762596
Wilone O'Kielt,Australia,Manuka Honey Choco,2022-05-11,4284.0,94.0,0.24297182894459426,-0.3992384806610766,0.19682539682539682,-0.5813689235887023
Karlen McCaffrey,UK,Almond Choco,2022-06-30,6839.0,133.0,0.3881186662028216,0.196019753027099,0.27936507936507937,-0.25231429279205986
Andria Kimpton,Canada,After Nines,2022-05-11,2163.0,70.0,0.12248007089187403,-0.8933843568460552,0.14603174603174604,-0.7838640810020207
Roddy Speechley,USA,Manuka Honey Choco,2022-07-22,9583.0,315.0,0.5440023927924794,0.835310787563441,0.6645502645502646,1.283273984258938
Andria Kimpton,UK,50% Dark Bites,2022-08-24,2653.0,314.0,0.15031645064002722,-0.7792252435359941,0.6624338624338625,1.274836686033383
Kelci Walkden,New Zealand,After Nines,2022-07-07,147.0,72.0,0.007953251356615197,-1.3630675658931635,0.15026455026455027,-0.7669894845509108
Camilla Castle,Australia,85% Dark Bars,2022-05-19,3654.0,14.0,0.20718219783982586,-0.546014483488298,0.027513227513227514,-1.2563527816330968
Karlen McCaffrey,India,Manuka Honey Choco,2022-07-04,2443.0,473.5,0.13838657360510442,-0.8281505778117346,1.0,2.620585753009395
Kelci Walkden,USA,After Nines,2022-06-02,938.0,16.0,0.052889121521491056,-1.1787821401212077,0.031746031746031744,-1.2394781851819872
Karlen McCaffrey,USA,Raspberry Choco,2022-04-15,14749.0,354.0,0.8374773678515802,2.0388740107466563,0.7470899470899471,1.6123286150555804
Mallorie Waber,Canada,Choco Coated Almonds,2022-07-11,4781.0,241.0,0.2712058712605782,-0.2834485228751575,0.5079365079365079,0.6589139155678729
Andria Kimpton,India,Spicy Special Slims,2022-02-23,6307.0,142.0,0.3578963110476838,0.07207557286188984,0.2984126984126984,-0.17637860876206543
Madelene Upcott,Canada,Almond Choco,2022-08-22,7602.0,102.0,0.4314638860963744,0.37378180089562263,0.21375661375661376,-0.5138705377842627
Kaine Padly,USA,Peanut Butter Cubes,2022-02-16,6790.0,188.0,0.3853350282280063,0.1846038416960929,0.39576719576719577,0.2117371096134615
Van Tuxwell,USA,50% Dark Bites,2022-01-13,9737.0,160.0,0.5527509692847562,0.8711893660323173,0.33650793650793653,-0.02450724070207663
Curtice Advani,Australia,Milk Bars,2022-02-14,6979.0,18.0,0.39607191755943677,0.2286366425442593,0.03597883597883598,-1.2226035887308773
Roddy Speechley,India,Eclairs,2022-06-10,4382.0,303.0,0.2485391048942249,-0.37640665799906436,0.6391534391534391,1.182026405552279
Curtice Advani,India,Fruit & Nut Bars,2022-07-07,5243.0,176.0,0.29745160073740834,-0.17581278746852846,0.37037037037037035,0.1104895309068023
Curtice Advani,Canada,Almond Choco,2022-03-24,4865.0,70.0,0.2759778220745473,-0.2638783891648613,0.14603174603174604,-0.7838640810020207
Brien Boise,Australia,Fruit & Nut Bars,2022-06-06,8575.0,23.0,0.48673898302485,0.6004691830398867,0.04656084656084656,-1.1804170976031025
Dotty Strutley,Australia,Drinking Coco,2022-07-19,91.0,135.0,0.004771950813969118,-1.3761143217000278,0.28359788359788357,-0.23543969634094997
Beverie Moffet,USA,Raspberry Choco,2022-04-19,14798.0,83.0,0.8402610058263955,2.0502899220776625,0.17354497354497356,-0.6741792040698065
Marney O'Breen,India,85% Dark Bars,2022-07-19,2205.0,179.0,0.12486604629885859,-0.8835992899909071,0.37671957671957673,0.1358014255834671
Jehu Rudeforth,Canada,Drinking Coco,2022-07-15,441.0,24.0,0.02465507920550711,-1.294572097907127,0.04867724867724868,-1.1719797993775476
Ches Bonnell,New Zealand,Spicy Special Slims,2022-02-14,3556.0,18.0,0.20161492189019523,-0.5688463061503102,0.03597883597883598,-1.2226035887308773
Brien Boise,Canada,99% Dark & Pure,2022-05-18,16793.0,416.0,0.9535948376581621,2.515080597697197,0.8783068783068783,2.135441105039986
Barr Faughny,Australia,Fruit & Nut Bars,2022-06-30,15421.0,55.0,0.8756529743633331,2.1954350804290255,0.11428571428571428,-0.9104235543853446
Andria Kimpton,Australia,50% Dark Bites,2022-06-02,4438.0,227.0,0.25172040543687096,-0.3633599021922002,0.4783068783068783,0.5407917404101039
Andria Kimpton,Australia,Drinking Coco,2022-06-28,1603.0,48.0,0.09066706546541324,-1.0238519149146963,0.09947089947089947,-0.9694846419642292
Marney O'Breen,Australia,Organic Choco Syrup,2022-05-16,273.0,174.0,0.015111177577568873,-1.3337123653277192,0.36613756613756615,0.09361493445569244
Kelci Walkden,Canada,Baker's Choco Chips,2022-05-26,3073.0,302.0,0.1741762047098728,-0.6813745749845131,0.6370370370370371,1.173589107326724
Karlen McCaffrey,India,Almond Choco,2022-07-06,6090.0,149.0,0.3455687714449303,0.021519394110291367,0.31322751322751324,-0.1173175211831809
Oby Sorrel,India,99% Dark & Pure,2022-05-27,10255.0,11.0,0.5821779993042324,0.9918718572458104,0.021164021164021163,-1.2816646763097617
Wilone O'Kielt,Australia,Caramel Stuffed Bars,2022-04-14,2030.0,11.0,0.11492448210308959,-0.9243704018873574,0.021164021164021163,-1.2816646763097617
Van Tuxwell,Australia,Organic Choco Syrup,2022-08-10,17609.863750000004,14.0,1.0,2.7053917025852208,0.027513227513227514,-1.2563527816330968
Camilla Castle,India,50% Dark Bites,2022-07-04,9275.0,411.0,0.526505239807926,0.7635536306256883,0.8677248677248677,2.0932546139122117
Oby Sorrel,India,Organic Choco Syrup,2022-07-08,6181.0,56.0,0.3507383848267302,0.04272037229644556,0.1164021164021164,-0.9019862561597897
Jan Morforth,USA,Peanut Butter Cubes,2022-07-22,9037.0,102.0,0.5129847125016802,0.7081049184465158,0.21375661375661376,-0.5138705377842627
Gigi Bohling,USA,Choco Coated Almonds,2022-03-02,12313.0,103.0,0.6990907942464758,1.4713401331480669,0.21587301587301588,-0.5054332395587079
Gigi Bohling,UK,Almond Choco,2022-01-10,5642.0,9.0,0.3201183671037617,-0.08285465234462161,0.016931216931216932,-1.2985392727608716
Jehu Rudeforth,New Zealand,White Choc,2022-03-11,2800.0,241.0,0.15866736456447317,-0.7449775095429758,0.5079365079365079,0.6589139155678729
Andria Kimpton,New Zealand,Peanut Butter Cubes,2022-06-20,959.0,265.0,0.054082109224983334,-1.1738896066936337,0.5587301587301587,0.8614090729811914
Van Tuxwell,UK,Organic Choco Syrup,2022-08-26,2002.0,214.0,0.11333383183176655,-0.9308937797907896,0.4507936507936508,0.4311068634778898
Roddy Speechley,Canada,Milk Bars,2022-07-13,609.0,32.0,0.034198980833445344,-1.2554318304865346,0.0656084656084656,-1.104481413573108
Camilla Castle,USA,Spicy Special Slims,2022-02-11,1274.0,244.0,0.07197692477736753,-1.1005016052800232,0.5142857142857142,0.6842258102445378
Marney O'Breen,USA,Orange Choco,2022-01-27,7595.0,181.0,0.4310662235285437,0.37215095641976464,0.38095238095238093,0.15267602203457697
Van Tuxwell,UK,99% Dark & Pure,2022-01-31,4725.0,137.0,0.2680245707179321,-0.2964952786820216,0.2878306878306878,-0.2185650998898401
Camilla Castle,USA,White Choc,2022-08-18,9681.0,24.0,0.5495696687421101,0.8581426102254531,0.04867724867724868,-1.1719797993775476
Andria Kimpton,USA,Raspberry Choco,2022-06-30,14504.0,21.0,0.8235591779775037,1.9817944540916257,0.042328042328042326,-1.1972916940542124
Dotty Strutley,Australia,Fruit & Nut Bars,2022-08-23,280.0,311.0,0.015508840145399633,-1.3320815208518613,0.656084656084656,1.2495247913567182
Brien Boise,New Zealand,Mint Chip Choco,2022-08-01,63.0,181.0,0.003181300542646079,-1.3826376996034597,0.38095238095238093,0.15267602203457697
Roddy Speechley,New Zealand,After Nines,2022-05-25,8001.0,10.0,0.4541306524627277,0.4667399360195295,0.01904761904761905,-1.2901019745353166
Roddy Speechley,Canada,Organic Choco Syrup,2022-01-10,4032.0,82.0,0.2286559765026869,-0.45794888179196513,0.17142857142857143,-0.6826165022953614
Dennison Crosswaite,Australia,70% Dark Bites,2022-02-07,5859.0,108.0,0.3324459067065152,-0.03229847359302314,0.22645502645502646,-0.46324674843093316
Karlen McCaffrey,USA,Orange Choco,2022-05-12,11095.0,401.0,0.6298975074439236,1.1875731943487722,0.8465608465608465,2.0088816316566622
Madelene Upcott,Australia,Spicy Special Slims,2022-03-07,7182.0,408.0,0.40760413202652884,0.27593113234414174,0.8613756613756614,2.067942719235547
Dennison Crosswaite,Australia,85% Dark Bars,2022-04-05,6881.0,420.0,0.39050464160980614,0.20580481988224708,0.8867724867724868,2.169190297942206
Andria Kimpton,Canada,Caramel Stuffed Bars,2022-01-03,7154.0,348.0,0.4060134817552058,0.2694077544407097,0.7343915343915344,1.5617048257022508
Dennison Crosswaite,UK,Eclairs,2022-03-24,6188.0,270.0,0.35113604739456095,0.04435121677230358,0.5693121693121693,0.903595564108966
Madelene Upcott,India,Raspberry Choco,2022-07-07,4221.0,9.0,0.23939286583411742,-0.4139160809437987,0.016931216931216932,-1.2985392727608716
Van Tuxwell,USA,After Nines,2022-07-26,630.0,264.0,0.03539196853693762,-1.2505392970589606,0.5566137566137566,0.8529717747556365
Wilone O'Kielt,Australia,Organic Choco Syrup,2022-07-07,1743.0,111.0,0.09862031682202844,-0.991235025397536,0.2328042328042328,-0.4379348537542684
Karlen McCaffrey,Canada,50% Dark Bites,2022-07-15,2919.0,65.0,0.1654276282175961,-0.7172531534533896,0.13544973544973546,-0.8260505721297953
Roddy Speechley,New Zealand,Orange Choco,2022-04-01,49.0,97.0,0.002385975406984559,-1.3858993885551758,0.20317460317460317,-0.5560570289120375
Beverie Moffet,Australia,Eclairs,2022-06-20,1827.0,6.0,0.10339226763599756,-0.9716648916872399,0.010582010582010581,-1.3238511674375364
Kelci Walkden,UK,Fruit & Nut Bars,2022-06-29,13006.0,473.5,0.738459388461721,1.6327937362580105,1.0,2.620585753009395
Marney O'Breen,USA,50% Dark Bites,2022-06-15,1064.0,106.0,0.06004704774244474,-1.1494269395557635,0.2222222222222222,-0.48012134488204306
Husein Augar,USA,After Nines,2022-04-08,11571.0,180.0,0.6569385620564152,1.2984706187071173,0.37883597883597886,0.14423872380902203
Dennison Crosswaite,Australia,Raspberry Choco,2022-03-14,5740.0,31.0,0.3256856430533923,-0.06002282968260939,0.06349206349206349,-1.112918711798663
Andria Kimpton,USA,Fruit & Nut Bars,2022-07-15,1456.0,359.0,0.08231615154096729,-1.0580996489077148,0.7576719576719577,1.6545151061833552
Kelci Walkden,India,Eclairs,2022-04-19,5334.0,80.0,0.3026212141192082,-0.15461180928237428,0.1671957671957672,-0.6994910987464713
Marney O'Breen,USA,99% Dark & Pure,2022-03-28,4151.0,296.0,0.2354162401558098,-0.43022452570237885,0.6243386243386243,1.1229653179733943
Brien Boise,Canada,Spicy Special Slims,2022-03-04,8106.0,101.0,0.46009559098018915,0.4912026031573998,0.21164021164021163,-0.5223078360098177
Karlen McCaffrey,New Zealand,70% Dark Bites,2022-08-02,126.0,40.0,0.006760263653122917,-1.3679600993207377,0.08253968253968254,-1.0369830277686687
Husein Augar,UK,Spicy Special Slims,2022-08-25,4697.0,42.0,0.2664339204466091,-0.3030186565854537,0.08677248677248678,-1.0201084313175588
Marney O'Breen,USA,Almond Choco,2022-02-25,7798.0,167.0,0.4425984379956357,0.4194454462196471,0.3513227513227513,0.0345538468768079
Kelci Walkden,India,Orange Choco,2022-06-07,9408.0,138.0,0.5340608285967104,0.7945396756669906,0.28994708994708995,-0.21012780166428516
Jan Morforth,India,Spicy Special Slims,2022-04-12,1939.0,473.5,0.10975486872128971,-0.9455713800735117,1.0,2.620585753009395
Ches Bonnell,India,Spicy Special Slims,2022-07-06,10906.0,94.0,0.619160618112493,1.1435403935006059,0.19682539682539682,-0.5813689235887023
Kelci Walkden,UK,Smooth Sliky Salty,2022-01-19,5929.0,175.0,0.33642253238482284,-0.015990028834442983,0.3682539682539683,0.10205223268124737
Madelene Upcott,Australia,Fruit & Nut Bars,2022-01-05,5579.0,92.0,0.31653940399328484,-0.09753225262734375,0.1925925925925926,-0.5982435200398121
Madelene Upcott,Canada,70% Dark Bites,2022-01-24,10927.0,141.0,0.6203536058159853,1.1484329269281799,0.2962962962962963,-0.18481590698762038
Wilone O'Kielt,Australia,Drinking Coco,2022-04-06,623.0,283.0,0.03499430596910687,-1.2521701415348185,0.5968253968253968,1.0132804410411802
Gunar Cockshoot,Australia,Fruit & Nut Bars,2022-06-15,6013.0,21.0,0.3411944831987919,0.0035801048758531983,0.042328042328042326,-1.1972916940542124
Gigi Bohling,Canada,Baker's Choco Chips,2022-01-28,1505.0,47.0,0.0850997895157826,-1.0466837375767086,0.09735449735449736,-0.9779219401897841
Kelci Walkden,India,Caramel Stuffed Bars,2022-03-16,476.0,125.0,0.02664339204466091,-1.2864178755278368,0.2624338624338624,-0.3198126785964993
Rafaelita Blaksland,Australia,Drinking Coco,2022-02-21,11550.0,396.0,0.6557455743529229,1.2935780852795433,0.8359788359788359,1.9666951405288877
Kelci Walkden,USA,Manuka Honey Choco,2022-02-16,17318.0,87.0,0.983419530245469,2.637393933386548,0.182010582010582,-0.6404300111675868
Jehu Rudeforth,Canada,Spicy Special Slims,2022-01-13,1848.0,27.0,0.10458525533948984,-0.9667723582596659,0.05502645502645503,-1.1466679047008828
Kelci Walkden,Australia,Eclairs,2022-03-23,7273.0,473.5,0.41277374540832873,0.2971321105302959,1.0,2.620585753009395
Curtice Advani,Canada,Spicy Special Slims,2022-06-16,854.0,118.0,0.04811717070752194,-1.198352273831504,0.24761904761904763,-0.3788737661753838
Oby Sorrel,India,Raspberry Choco,2022-04-14,6832.0,46.0,0.38772100363499085,0.19438890855124097,0.09523809523809523,-0.986359238415339
Kelci Walkden,UK,Eclairs,2022-01-25,4606.0,57.0,0.2612643070648092,-0.32421963477160787,0.11851851851851852,-0.8935489579342347
Jan Morforth,India,Almond Choco,2022-03-11,4466.0,22.0,0.253311055708194,-0.35683652428876816,0.044444444444444446,-1.1888543958286575
Dotty Strutley,UK,Almond Choco,2022-07-28,16114.0,96.0,0.9150215685785784,2.356888683538969,0.20105820105820105,-0.5644943271375924
Marney O'Breen,New Zealand,After Nines,2022-03-09,1561.0,44.0,0.08828109005842869,-1.0336369817698445,0.091005291005291,-1.003233834866449
Husein Augar,Australia,Orange Choco,2022-06-28,8897.0,188.0,0.505031461145065,0.6754880289293554,0.39576719576719577,0.2117371096134615
Marney O'Breen,Australia,Milk Bars,2022-07-28,2464.0,387.0,0.1395795613085967,-0.8232580443841605,0.816931216931217,1.8907594564988932
Kelci Walkden,Canada,99% Dark & Pure,2022-08-15,4830.0,50.0,0.2739895092353935,-0.27203261154415137,0.1037037037037037,-0.9526100455131193
Kaine Padly,Australia,Manuka Honey Choco,2022-01-12,2765.0,264.0,0.15667905172531937,-0.7531317319222659,0.5566137566137566,0.8529717747556365
Beverie Moffet,New Zealand,White Choc,2022-03-24,7126.0,7.0,0.40442283148388275,0.26288437653727764,0.012698412698412698,-1.3154138692119814
Van Tuxwell,UK,Milk Bars,2022-07-25,4263.0,90.0,0.24177884124110197,-0.4041310140886506,0.18835978835978837,-0.615118116490922
Oby Sorrel,Canada,99% Dark & Pure,2022-08-01,3605.0,403.0,0.20439855986501054,-0.557430394819304,0.8507936507936508,2.025756228107772
Van Tuxwell,India,Organic Choco Syrup,2022-05-16,17609.863750000004,174.0,1.0,2.7053917025852208,0.36613756613756615,0.09361493445569244
Roddy Speechley,India,Smooth Sliky Salty,2022-08-10,5103.0,140.0,0.28949834938079316,-0.2084296769856888,0.29417989417989415,-0.1932532052131753
Jan Morforth,India,Eclairs,2022-01-05,2541.0,27.0,0.14395384955473506,-0.8053187551497224,0.05502645502645503,-1.1466679047008828
Ches Bonnell,UK,Smooth Sliky Salty,2022-07-11,5663.0,110.0,0.3213113548072539,-0.07796211891704756,0.2306878306878307,-0.44637215197982333
Wilone O'Kielt,USA,After Nines,2022-04-25,392.0,30.0,0.02187144123069179,-1.305988009238133,0.061375661375661375,-1.121356010024218
Gigi Bohling,New Zealand,Fruit & Nut Bars,2022-04-04,10976.0,121.0,0.6231372437908007,1.159848838259186,0.25396825396825395,-0.35356187149871904
Barr Faughny,USA,Raspberry Choco,2022-04-12,9282.0,101.0,0.5269029023757568,0.7651844751015463,0.21164021164021163,-0.5223078360098177
Wilone O'Kielt,New Zealand,85% Dark Bars,2022-08-02,1827.0,117.0,0.10339226763599756,-0.9716648916872399,0.2455026455026455,-0.38731106440093876
Gigi Bohling,New Zealand,Manuka Honey Choco,2022-06-28,8267.0,272.0,0.4692418300402966,0.5287120261021341,0.5735449735449736,0.9204701605600759
Ches Bonnell,Australia,Eclairs,2022-07-05,4116.0,128.0,0.23342792731665601,-0.43837874808166893,0.2687830687830688,-0.2945007839198345
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,2022-06-07,2093.0,45.0,0.11850344521356643,-0.9096928016046353,0.09312169312169312,-0.994796536640894
Brien Boise,New Zealand,Smooth Sliky Salty,2022-01-18,1015.0,27.0,0.05726340976762941,-1.1608428508867696,0.05502645502645503,-1.1466679047008828
Brien Boise,Australia,Baker's Choco Chips,2022-01-04,12516.0,212.0,0.7106230087135679,1.5186346229479493,0.44656084656084655,0.4142322670267799
Dennison Crosswaite,Australia,99% Dark & Pure,2022-01-31,2758.0,18.0,0.15628138915748863,-0.7547625763981238,0.03597883597883598,-1.2226035887308773
Kelci Walkden,India,Almond Choco,2022-03-14,3297.0,149.0,0.18690140688045712,-0.6291875517570568,0.31322751322751324,-0.1173175211831809
Camilla Castle,Australia,70% Dark Bites,2022-04-29,6048.0,473.5,0.3431827960379457,0.011734327255143274,1.0,2.620585753009395
Oby Sorrel,India,Smooth Sliky Salty,2022-02-07,10101.0,108.0,0.5734294228119556,0.9559932787769341,0.22645502645502646,-0.46324674843093316
Kaine Padly,UK,Organic Choco Syrup,2022-03-31,2282.0,178.0,0.12924033454499695,-0.8656600007564689,0.3746031746031746,0.12736412735791217
Marney O'Breen,India,Caramel Stuffed Bars,2022-03-16,4361.0,81.0,0.24734611719073263,-0.3812991914266384,0.1693121693121693,-0.6910538005209164
Karlen McCaffrey,UK,Eclairs,2022-01-25,7798.0,196.0,0.4425984379956357,0.4194454462196471,0.4126984126984127,0.279235495417901
Van Tuxwell,India,Baker's Choco Chips,2022-06-20,3052.0,447.0,0.17298321700638053,-0.6862671084120873,0.9439153439153439,2.3969973500321893
Gigi Bohling,UK,After Nines,2022-03-29,8029.0,175.0,0.45572130273405076,0.47326331392296156,0.3682539682539683,0.10205223268124737
Curtice Advani,Australia,Orange Choco,2022-07-12,854.0,136.0,0.04811717070752194,-1.198352273831504,0.2857142857142857,-0.22700239811539502
Jehu Rudeforth,Canada,Smooth Sliky Salty,2022-07-11,5460.0,138.0,0.3097791403401619,-0.12525660871693,0.28994708994708995,-0.21012780166428516
Karlen McCaffrey,Canada,Smooth Sliky Salty,2022-01-19,3017.0,184.0,0.17099490416722674,-0.6944213307913774,0.3873015873015873,0.17798791671124178
Andria Kimpton,USA,85% Dark Bars,2022-04-05,8911.0,82.0,0.5058267862807265,0.6787497178810715,0.17142857142857143,-0.6826165022953614
Jehu Rudeforth,Canada,Milk Bars,2022-02-21,7203.0,12.0,0.4087971197300211,0.2808236657717158,0.02328042328042328,-1.2732273780842067
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,2022-05-20,13083.0,14.0,0.7428336767078594,1.6507330254924486,0.027513227513227514,-1.2563527816330968
Mallorie Waber,Australia,Milk Bars,2022-07-29,2779.0,104.0,0.1574743768609809,-0.7498700429705498,0.21798941798941798,-0.4969959413331529
Barr Faughny,USA,Fruit & Nut Bars,2022-01-28,9058.0,46.0,0.5141777002051725,0.7129974518740898,0.09523809523809523,-0.986359238415339
Marney O'Breen,UK,Caramel Stuffed Bars,2022-07-19,3549.0,112.0,0.20121725932236448,-0.5704771506261682,0.23492063492063492,-0.42949755552871344
Mallorie Waber,New Zealand,Manuka Honey Choco,2022-04-13,9436.0,11.0,0.5356514788680335,0.8010630535704226,0.021164021164021163,-1.2816646763097617
Roddy Speechley,India,Peanut Butter Cubes,2022-02-11,10283.0,21.0,0.5837686495755554,0.9983952351492424,0.042328042328042326,-1.1972916940542124
Roddy Speechley,New Zealand,Milk Bars,2022-03-02,5446.0,116.0,0.3089838152045004,-0.12851829766864603,0.24338624338624337,-0.3957483626264937
Ches Bonnell,Australia,White Choc,2022-03-02,1043.0,202.0,0.05885406003895245,-1.1543194729833377,0.4253968253968254,0.32985928477123055
Van Tuxwell,USA,99% Dark & Pure,2022-07-28,12586.0,6.0,0.7145996343918755,1.5349430677065294,0.010582010582010581,-1.3238511674375364
Kelci Walkden,India,After Nines,2022-01-07,1687.0,473.5,0.09543901627938237,-1.0042817812044003,1.0,2.620585753009395
Brien Boise,UK,White Choc,2022-04-12,5299.0,167.0,0.30063290128005443,-0.16276603166166437,0.3513227513227513,0.0345538468768079
Van Tuxwell,Canada,Almond Choco,2022-06-27,3213.0,72.0,0.182129456066488,-0.6487576854673529,0.15026455026455027,-0.7669894845509108
Jehu Rudeforth,Australia,50% Dark Bites,2022-01-14,5194.0,418.0,0.29466796276259305,-0.18722869879953458,0.8825396825396825,2.152315701491096
Karlen McCaffrey,UK,Baker's Choco Chips,2022-02-07,4753.0,389.0,0.26961522098925517,-0.28997190077858953,0.8211640211640212,1.907634052950003
Jehu Rudeforth,Australia,Orange Choco,2022-03-23,13706.0,26.0,0.778225645244797,1.795878183843812,0.05291005291005291,-1.1551052029264377
Marney O'Breen,India,Peanut Butter Cubes,2022-01-10,6489.0,146.0,0.3682355378112836,0.11447752923419824,0.30687830687830686,-0.1426294158598457
Oby Sorrel,UK,Choco Coated Almonds,2022-03-17,9324.0,41.0,0.5292888777827414,0.7749695419566944,0.08465608465608465,-1.0285457295431137
Gigi Bohling,USA,Spicy Special Slims,2022-01-21,10829.0,54.0,0.6147863298663547,1.1256011042661678,0.11216931216931217,-0.9188608526108996
Barr Faughny,Australia,White Choc,2022-07-04,8113.0,370.0,0.4604932535480199,0.49283344763325776,0.780952380952381,1.7473253866644594
Kaine Padly,Canada,Peanut Butter Cubes,2022-07-04,3269.0,176.0,0.18531075660913407,-0.6357109296604888,0.37037037037037035,0.1104895309068023
Dotty Strutley,USA,Manuka Honey Choco,2022-08-10,273.0,210.0,0.015111177577568873,-1.3337123653277192,0.44232804232804235,0.39735767057567006
Dennison Crosswaite,Australia,50% Dark Bites,2022-04-01,7287.0,12.0,0.4135690705439902,0.30039379948201195,0.02328042328042328,-1.2732273780842067
Gigi Bohling,India,Raspberry Choco,2022-02-22,2583.0,159.0,0.14633982496171963,-0.7955336882945743,0.3343915343915344,-0.032944538927631564
